,container_id,machine_id,time_stamp,cpu_util_percent,mem_util_percent,cpu_request,cpu_limit,mem_size,cpu_uage,mem_usage
0,c_10184,m_1897,86600,1,15,400,400,1.56,4.0,0.234
1,c_10184,m_1897,87010,2,15,400,400,1.56,8.0,0.234
2,c_10184,m_1897,87080,1,15,400,400,1.56,4.0,0.234
3,c_10184,m_1897,87410,1,15,400,400,1.56,4.0,0.234
4,c_10184,m_1897,87600,1,15,400,400,1.56,4.0,0.234
5,c_10184,m_1897,87840,1,15,400,400,1.56,4.0,0.234
6,c_10184,m_1897,91980,1,16,400,400,1.56,4.0,0.2496
7,c_10184,m_1897,92340,1,16,400,400,1.56,4.0,0.2496
8,c_10184,m_1897,92490,1,16,400,400,1.56,4.0,0.2496
9,c_10184,m_1897,92970,1,16,400,400,1.56,4.0,0.2496
10,c_10184,m_1897,93960,1,16,400,400,1.56,4.0,0.2496
11,c_10184,m_1897,94180,1,16,400,400,1.56,4.0,0.2496
12,c_10184,m_1897,94190,1,16,400,400,1.56,4.0,0.2496
13,c_10184,m_1897,94560,1,16,400,400,1.56,4.0,0.2496
14,c_10184,m_1897,94720,1,16,400,400,1.56,4.0,0.2496
15,c_10184,m_1897,96100,1,16,400,400,1.56,4.0,0.2496
16,c_10184,m_1897,97120,1,16,400,400,1.56,4.0,0.2496
17,c_10184,m_1897,97810,2,16,400,400,1.56,8.0,0.2496
18,c_10184,m_1897,98430,1,16,400,400,1.56,4.0,0.2496
19,c_10184,m_1897,98810,1,16,400,400,1.56,4.0,0.2496
20,c_10184,m_1897,104070,1,16,400,400,1.56,4.0,0.2496
21,c_10184,m_1897,106260,1,17,400,400,1.56,4.0,0.2652
22,c_10184,m_1897,107770,2,17,400,400,1.56,8.0,0.2652
23,c_10184,m_1897,107950,2,17,400,400,1.56,8.0,0.2652
24,c_10184,m_1897,108070,2,17,400,400,1.56,8.0,0.2652
25,c_10184,m_1897,109230,1,17,400,400,1.56,4.0,0.2652
26,c_10184,m_1897,110970,1,17,400,400,1.56,4.0,0.2652
27,c_10184,m_1897,111180,1,17,400,400,1.56,4.0,0.2652
28,c_10184,m_1897,112120,1,17,400,400,1.56,4.0,0.2652
29,c_10184,m_1897,113980,1,17,400,400,1.56,4.0,0.2652
30,c_10184,m_1897,114060,1,17,400,400,1.56,4.0,0.2652
31,c_10184,m_1897,114080,1,17,400,400,1.56,4.0,0.2652
32,c_10184,m_1897,114830,1,18,400,400,1.56,4.0,0.2808
33,c_10184,m_1897,115040,1,17,400,400,1.56,4.0,0.2652
34,c_10184,m_1897,115280,1,17,400,400,1.56,4.0,0.2652
35,c_10184,m_1897,116160,1,18,400,400,1.56,4.0,0.2808
36,c_10184,m_1897,116640,1,18,400,400,1.56,4.0,0.2808
37,c_10184,m_1897,117580,1,18,400,400,1.56,4.0,0.2808
